domain,name
news.google.com,Google News
feedly.com,Feedly
alltop.com,Alltop
news360.com,News360
usepanda.com,Panda
techmeme.com,Techmeme
flipboard.com,Flipboard
getpocket.com,Pocket
inoreader.com,Inoreader
bing.com/news,Bing News
news-republic.com,News Republic
fark.com,Fark
news.ycombinator.com,Hacker News
