domain,name
google.com/search,Google
duckduckgo.com,DuckDuckGo
search.aol.com,AOL Search
search.yahoo.com,Yahoo Search
bing.com,Bing
ask.com,Ask
yandex.com/search,Yandex Search
onesearch.com,OneSearch
ecosia.org,Ecosia
ekoru.org,Ekoru
givewater.com,giveWater
dogpile.com,Dogpile
baidu.com,Baidu
