domain,name
aol.com,AOL
msn.com,MSN
yahoo.com,Yahoo!
excite.com,Excite
kadaza.com,Kadaza
centurylink.net,CenturyLink
my.earthlink.net,EarthLink
protopage.com,Protopage
ask.com,Ask
nine.com.au,Nine
inbox.com,Inbox
gmx.com,GMX
