domain,sources,date_snapshotted,available,mbfc_tags,ng_tags,os_tags,pf_tags
americafans.com,MBFC;Allcott18;Grinberg19,,FALSE,Extreme Right;Propaganda,,,
americanborderpatrol.com,OpenSources,,TRUE,,,hate,
americancatholictribune.com,NYTimesPinkSlime,,,,,,
americandailynews.org,MBFC,,FALSE,Extreme Right;Propaganda,,,
americanflare.com,Allcott18;Grinberg19,,FALSE,,,,
americanflavor.news,MBFC;Buzzfeed17;PolitiFact;Allcott18;Grinberg19,,FALSE,Extreme Right;Fake News,,,
americanfreepress.net,OpenSources,,TRUE,,,conspiracy;bias,
americanjournalreview.com,FactCheck;MBFC;Allcott18;NewsGuard;Grinberg19,,TRUE,Extreme Right;Conspiracy;Propaganda;Some Fake News,falseContent;basicStandards;accountabilityPractices;newsOpinion;deceptiveHeadlines;ownership;management;contentCreators,,
americankabuki.blogspot.com,OpenSources,,FALSE,,,junksci,
americanlookout.com,OpenSources;MBFC;NewsGuard,,TRUE,Extreme Right;Propaganda,ownership;labelsAdvertising;accountabilityPractices;newsOpinion;falseContent;basicStandards,bias;clickbait,
americannews.com,OpenSources;Wikipedia;PolitiFact;Allcott18,,FALSE,,,fake,
americanoverlook.com,OpenSources,,FALSE,,,fake,
americanpatriotdaily.com,OpenSources;MBFC,,TRUE,Extreme Right;Propaganda,,bias;clickbait;bias,
americanpeoplenetwork.com,MBFC;PolitiFact;Allcott18;Grinberg19,,FALSE,Extreme Right;Fake News,,,
americanpharmacynews.com,NYTimesPinkSlime,,,,,,
americanpoliticnews.co,OpenSources;PolitiFact;Allcott18;Grinberg19,,FALSE,,,fake,
americanpresident.co,OpenSources;PolitiFact;Allcott18;Grinberg19,,FALSE,,,fake,
americanprides.com,Allcott18;Grinberg19,,FALSE,,,,
americanprides.org,MBFC,,FALSE,Extreme Right;Fake News,,,
americanprinciplesproject.org,MBFC,,FALSE,Extreme Right;Propaganda;Conspiracy,,,
americanreviewer.com,OpenSources,,FALSE,,,conspiracy,
americansecuritynews.com,NYTimesPinkSlime,,,,,,
americanthinker.com,OpenSources;MBFC;NewsGuard,,TRUE,Extreme Right;Conspiracy;Propaganda;Lack of Ownership Transparency,falseContent;basicStandards;newsOpinion;ownership;labelsAdvertising;contentCreators,bias,
americantoday.news,OpenSources;MBFC;Allcott18,,FALSE,Extreme Right;Propaganda,,rumor;bias,
americantoday.us,PolitiFact;Allcott18,,FALSE,,,,
americantruthseekers.com,MBFC,,FALSE,Extreme Right;Propaganda;Conspiracy,,,
americanupdater.com,MBFC,,FALSE,Extreme Right;Propaganda;Conspiracy,,,
americasfreedomfighters.com,OpenSources;FactCheck;MBFC;Allcott18,,TRUE,Extreme Right;Propaganda;Conspiracy,,bias;clickbait,
americaslastlineofdefense.org,FactCheck;Buzzfeed18;NewsGuard,,FALSE,,ownership;management;newsOpinion;falseContent;basicStandards;contentCreators;deceptiveHeadlines;accountabilityPractices,,
americasnewest.com,Allcott18;Grinberg19,,FALSE,,,,
americatalks.com,FactCheck,,TRUE,,,,
amestoday.com,NYTimesPinkSlime,,,,,,
amposts.com,OpenSources;PolitiFact;Allcott18;Grinberg19,,FALSE,,,fake,
amren.com,OpenSources;MBFC,,TRUE,Extreme Right;Hate Group;Propaganda,,hate,
amtvmedia.com,OpenSources,,TRUE,,,rumor;unreliable,
amusmentic.com,OpenSources,,FALSE,,,clickbait;rumor,
ancient-code.com,OpenSources,,TRUE,,,junksci;unreliable,
andersonreporter.com,NYTimesPinkSlime,,,,,,
anews-24.com,MBFC;Allcott18;Grinberg19,,FALSE,Extreme Right;Propaganda;Conspiracy;Fake News,,,
anews24.org,Allcott18;Grinberg19,,FALSE,,,,
anews24.org/,OpenSources;PolitiFact,,FALSE,,,fake,
angolabusinessdaily.com,NYTimesPinkSlime,,,,,,
angrypatriotmovement.com,OpenSources;MBFC;Allcott18;PolitiFact;Grinberg19,,TRUE,Extreme Right;Conspiracy;Propaganda;Some Fake News,,conspiracy;fake,
ankenyguide.com,NYTimesPinkSlime,,,,,,
annarbortimes.com,NYTimesPinkSlime,,,,,,
annearundeltoday.com,NYTimesPinkSlime,,,,,,
anokatimes.com,NYTimesPinkSlime,,,,,,
anonews.co,OpenSources;Allcott18;NewsGuard,,TRUE,,basicStandards;accountabilityPractices;newsOpinion;ownership;management;contentCreators,unreliable,
anonhq.com,OpenSources;Allcott18,,TRUE,,,unreliable,
anonjekloy.tk,OpenSources;PolitiFact;Allcott18;Grinberg19,,FALSE,,,fake,
anotherdayintheempire.com,OpenSources,,FALSE,,,bias;conspiracy,
antelopevalleytoday.com,NYTimesPinkSlime,,,,,,
antinews.com,PolitiFact;Allcott18,,FALSE,,,,
antiwar.com,OpenSources,,TRUE,,,bias;unreliable,
antoniusaquinas.wp.com,OpenSources,,FALSE,,,bias;conspiracy,
apopkatimes.com,NYTimesPinkSlime,,,,,,
arabnews.com,NewsGuard,,TRUE,,ownership;contentCreators;management;basicStandards;newsOpinion;accountabilityPractices,,
arbusinessdaily.com,NYTimesPinkSlime,,,,,,
areyouasleep.com,Allcott18;Grinberg19,,FALSE,,,,
areyousleep.com,Buzzfeed17;Buzzfeed18;Allcott18,,FALSE,,,,
armyusanews.com,PolitiFact;Allcott18,,FALSE,,,,
aroostooknews.com,NYTimesPinkSlime,,,,,,
aryannationswordwide1488.org,OpenSources,,FALSE,,,hate,
asamericanasapplepie.org,Snopes;PolitiFact;Allcott18;Grinberg19,,FALSE,,,,
ascienceenthusiast.com,NewsGuard,,FALSE,,newsOpinion;accountabilityPractices;ownership;labelsAdvertising;management,,
ashevillereporter.com,NYTimesPinkSlime,,,,,,
ashlandreview.com,NYTimesPinkSlime,,,,,,
assassinationscience.com,OpenSources,,TRUE,,,conspiracy;junksci,
associatedmediacoverage.com,OpenSources;Snopes;Buzzfeed16;Buzzfeed17;PolitiFact;Allcott18;Grinberg19,,FALSE,,,satire,
athensreporter.com,NYTimesPinkSlime,,,,,,
atlanticcotimes.com,NYTimesPinkSlime,,,,,,
atlstandard.com,NYTimesPinkSlime,,,,,,
attitude.co.uk,PolitiFact;Allcott18,,TRUE,,,,
auburntimes.com,NYTimesPinkSlime,,,,,,
aurora-news.us,OpenSources;MBFC;PolitiFact;Allcott18;Grinberg19,,FALSE,Extreme Right;Imposter Site,,fake,
auroraneguide.com,NYTimesPinkSlime,,,,,,
