domain,name
mail.google.com,Gmail
mail.aol.com,AOL Mail
hushmail.com,Hushmail
outlook.live.com,Outlook
mail.yahoo.com,Yahoo Mail
fastmail.com,Fastmail
lavabit.com,Lavabit
mail.zoho.com,Zoho
mail.yandex.com,Yandex
icloud.com/mail,iCloud Mail
inbox.com,Inbox
mail.protonmail.com,ProtonMail
gmx.com/mail,GMX Mail
tocomail.com,TocoMail
webmail.excite.com,Excite Mail
mail.lycos.com,LycosMail
mailfence.com,Mailfence
apps.rackspace.com,Rackspace
runbox.com/mail,Runbox
mail.tutanota.com,Tutanota
